0,DATE,D0,D1,D2,D3,D4,-9,W0,W1,W2,W3,W4
91.9,85,0.9,0,0,0,0,7.2,0,0,0,0,0
66.7,86,26,0,0,0,0,7.2,0,0,0,0,0
59.2,87,15.7,4.6,0,0,0,7.2,17.8,1.2,0,0,0
13.7,88,10.4,0,0,0,0,7.2,68.7,27.8,0,0,0
12.6,89,9.3,0,0,0,0,7.2,70.9,47.9,5.5,0,0
12.5,90,0,0,0,0,0,7.2,80.3,64.4,21.3,0.3,0
74.1,91,3.3,0,0,0,0,7.2,15.3,0,0,0,0
79,92,0,0,0,0,0,7.2,13.8,0,0,0,0
50.3,93,42.5,0,0,0,0,7.2,0,0,0,0,0
86.2,94,1,0,0,0,0,7.2,5.6,2.8,0,0,0
69.5,95,23.2,14.5,1.2,0,0,7.2,0,0,0,0,0
11.1,96,7.3,0.4,0,0,0,7.2,74.3,53.3,12.2,0,0
10.8,97,3.5,0,0,0,0,7.2,78.5,70.8,37.3,2,0
12.2,98,8.1,0.4,0,0,0,7.2,72.5,61.6,23.3,0.3,0
0,99,0,0,0,0,0,7.2,92.9,91.1,81,47.4,21
10.5,100,82.3,44.4,13.2,0.5,0,7.2,0,0,0,0,0
72.8,101,9.2,0,0,0,0,7.2,10.8,7.7,3.5,0,0
11.9,102,80.9,69,36.3,5.6,0,7.2,0,0,0,0,0
7,103,85.8,9.2,0,0,0,7.2,0,0,0,0,0
36.9,104,47.4,0,0,0,0,7.2,8.5,4.7,0.4,0,0
3.2,105,89.5,73.8,27.2,0,0,7.2,0,0,0,0,0
28.4,106,61.3,1.2,0,0,0,7.2,3.1,0,0,0,0
29.4,107,63.4,30.4,0.7,0,0,7.2,0,0,0,0,0
20.9,108,60.3,1.2,0,0,0,7.2,11.5,8.8,7.3,6.2,3.5
1.2,109,91.5,89.9,84.9,68,41.7,7.2,0,0,0,0,0
34.6,110,54.6,8.8,0,0,0,7.2,3.6,0.9,0,0,0
38.3,111,52.8,4.4,0,0,0,7.2,1.6,0,0,0,0
3.8,112,89,22.8,0.3,0,0,7.2,0,0,0,0,0
79.7,113,0.2,0,0,0,0,7.2,12.8,0,0,0,0
92,114,0.7,0,0,0,0,7.2,0,0,0,0,0
63.3,115,0,0,0,0,0,7.2,29.4,10.6,2.3,0,0
4.2,116,88.5,46.1,2.1,0,0,7.2,0,0,0,0,0
79.4,117,13.3,4.1,0.1,0,0,7.2,0,0,0,0,0
78.6,118,14.2,0,0,0,0,7.2,0,0,0,0,0
70.9,119,0,0,0,0,0,7.2,21.9,0,0,0,0
55.3,120,34.8,21.1,12.7,1.9,0,7.2,2.7,0,0,0,0
8.8,121,1.2,0,0,0,0,7.2,82.8,76,63.8,45.2,18
1.8,122,0,0,0,0,0,7.2,91,85,53.8,21.2,5.8
21.7,123,71,43.5,23.6,10.1,0.6,7.2,0,0,0,0,0
86.8,124,5.9,0,0,0,0,7.2,0,0,0,0,0
71,125,0,0,0,0,0,7.2,21.7,8.4,0.5,0,0
22.4,126,70.3,21.7,1,0,0,7.2,0,0,0,0,0
46.4,127,46.3,0.1,0,0,0,7.2,0,0,0,0,0
72.2,128,1,0,0,0,0,7.2,19.6,11.9,8.1,6.2,0.8
1.2,129,91.6,86.5,54.3,12.9,0,7.2,0,0,0,0,0
70.7,130,2.9,0,0,0,0,7.2,19.2,11.6,7.8,4.3,0
3.3,131,88.3,79.3,53.2,19.8,0.7,7.2,1.2,0,0,0,0
34,132,57.6,2.1,0,0,0,7.2,1.2,0,0,0,0
10.4,133,78.1,49.2,4,0,0,7.2,4.3,0.4,0,0,0
15.5,134,76.1,49.7,2.9,0,0,7.2,1.2,0.4,0,0,0
0,135,92.8,89.8,41.4,2.3,0,7.2,0,0,0,0,0
66.9,136,5.1,2.7,0.3,0,0,7.2,20.7,13.7,2.3,0,0
1,137,91.8,62.9,12,0,0,7.2,0,0,0,0,0
88.5,138,2,0,0,0,0,7.2,2.2,0,0,0,0
82.1,139,7.3,0,0,0,0,7.2,3.3,0.5,0,0,0
28.7,140,64.1,9.5,0.3,0,0,7.2,0,0,0,0,0
70.2,141,16.7,0,0,0,0,7.2,5.8,0,0,0,0
15.8,142,68.9,16.3,0,0,0,7.2,8.1,4.3,1.2,0,0
5.3,143,83.5,78.1,54.7,24,3.5,7.2,3.9,1.6,0.8,0,0
11.7,144,71.3,60.7,40.5,5.9,0.7,7.2,9.8,5.8,3.9,1.2,0
8.3,145,83.7,75.5,64.5,52,32.8,7.2,0.8,0.4,0,0,0
10.7,146,76.7,63.5,36.1,2.2,0,7.2,5.4,2.7,1.2,0,0
2.3,147,90.1,84.4,75.7,52,5.2,7.2,0.4,0,0,0,0
10,148,82,53.1,3.3,0,0,7.2,0.8,0,0,0,0
14.1,149,67.9,40.9,3.8,0,0,7.2,10.8,7.4,5.1,1.2,0
1.2,150,91.6,83.4,69.8,41.5,6.2,7.2,0,0,0,0,0
20.4,151,70.5,42.9,1.2,0,0,7.2,1.8,0,0,0,0
11,152,81.8,17.1,0,0,0,7.2,0,0,0,0,0
75.3,153,0,0,0,0,0,7.2,17.5,0,0,0,0
10.6,154,82.1,11.1,0,0,0,7.2,0,0,0,0,0
42.7,155,0,0,0,0,0,7.2,50,1,0,0,0
29.6,156,4.9,3.5,1.4,0,0,7.2,58.2,11.3,0.4,0,0
58.4,157,24.7,5.1,1,0,0,7.2,9.6,0,0,0,0
12.7,158,77.7,26.2,0.2,0,0,7.2,2.3,0,0,0,0
10.3,159,82.1,54.3,12.6,1.1,0,7.2,0.4,0,0,0,0
19.6,160,70.5,38.9,2.6,0,0,7.2,2.6,0,0,0,0
10.9,161,71.5,48.3,15.9,2,0,7.2,10.4,7.3,5.4,1.2,0
3.4,162,89.4,82.3,66.1,42.9,12.5,7.2,0,0,0,0,0
20.5,163,72.2,11.6,0,0,0,7.2,0,0,0,0,0
74.8,164,6.8,3.7,0,0,0,7.2,11.2,6.6,0,0,0
9.6,165,83.1,50.1,27.8,7.5,4.6,7.2,0,0,0,0,0
30.1,166,60.3,1.4,0,0,0,7.2,2.3,0,0,0,0
75.1,167,0,0,0,0,0,7.2,17.6,2.6,0,0,0
78.8,168,0,0,0,0,0,7.2,13.9,0.4,0,0,0
17.2,169,70,21.5,6.1,0,0,7.2,5.6,4.5,3.5,2.4,1
16.4,170,0.4,0,0,0,0,7.2,76,44,26.7,7.6,1.1
48.2,171,0,0,0,0,0,7.2,44.6,0,0,0,0
43.2,172,0.7,0,0,0,0,7.2,48.8,7.7,0,0,0
17.1,173,71.3,34.7,6.2,0.2,0,7.2,4.3,0.4,0,0,0
7.6,174,85.2,58.5,17.6,8.8,1.4,7.2,0,0,0,0,0
17.7,175,75,1.7,0,0,0,7.2,0,0,0,0,0
3.5,176,89.2,31.8,11.9,3.3,0,7.2,0,0,0,0,0
69.9,177,0,0,0,0,0,7.2,22.9,14.4,3.1,0,0
20.4,178,69.1,42.8,3.3,0,0,7.2,3.4,2.1,0.5,0,0
8.2,179,84.5,25.5,0,0,0,7.2,0,0,0,0,0
54,180,29.9,0,0,0,0,7.2,8.9,6.6,1.6,0,0
2.6,181,90.3,82.8,43.1,8.7,0.6,7.2,0,0,0,0,0
73.9,182,18.2,1,0,0,0,7.2,0.5,0,0,0,0
75.6,183,0,0,0,0,0,7.2,17.2,0,0,0,0
64.5,184,4.7,0,0,0,0,7.2,23.6,4.4,0.1,0,0
19.5,185,0,0,0,0,0,7.2,73.3,18.1,0,0,0
33.8,186,0,0,0,0,0,7.2,59,5.1,0.2,0,0
72.4,187,0,0,0,0,0,7.2,20.3,5.4,0.3,0,0
70.7,188,0,0,0,0,0,7.2,22,6.1,2.5,0,0
72.3,189,0,0,0,0,0,7.2,20.4,7.7,0,0,0
3.7,190,89,48.7,6.5,0,0,7.2,0,0,0,0,0
12.4,191,0,0,0,0,0,7.2,80.4,42.5,9.2,1,0
50.8,192,0.4,0,0,0,0,7.2,41.6,19.3,10.6,1.9,0
23,193,2.3,0,0,0,0,7.2,67.5,18.3,0.2,0,0
43.6,194,3.5,1.7,0,0,0,7.2,45.6,2.2,0,0,0
73.8,195,10.6,0.5,0,0,0,7.2,8.4,0,0,0,0
5.3,196,1.6,0,0,0,0,7.2,85.9,33.1,0.3,0,0
75,197,0,0,0,0,0,7.2,17.8,5.5,3,1,0
60.6,198,0.3,0,0,0,0,7.2,31.8,1.7,0,0,0
78.3,199,5.4,0,0,0,0,7.2,9,2,0,0,0
59.3,200,3,0,0,0,0,7.2,30.6,10.8,6.2,0,0
15.6,201,72.9,51.2,23.1,5.8,0.2,7.2,4.3,0.8,0,0,0
9.1,202,82.2,62.6,8.4,0,0,7.2,1.4,0,0,0,0
58.2,203,0,0,0,0,0,7.2,34.6,18.8,5.8,0,0
85.8,204,0.3,0,0,0,0,7.2,6.6,0.2,0,0,0
83.5,205,9.2,0,0,0,0,7.2,0,0,0,0,0
8.8,206,0,0,0,0,0,7.2,83.9,22.6,11.1,1.9,0
18.2,207,74.6,43.5,11.3,0.6,0,7.2,0,0,0,0,0
17,208,75.8,20,0.3,0,0,7.2,0,0,0,0,0
30.5,209,60.1,3.2,0,0,0,7.2,2.2,0,0,0,0
23.5,210,65.2,1.5,0,0,0,6.6,4.7,2.4,1,0.1,0
67.8,211,18.4,0,0,0,0,6.6,7.3,0.7,0,0,0
31.9,212,0.2,0,0,0,0,6.6,61.3,9.9,0.3,0,0
91.3,213,0,0,0,0,0,6.6,2.2,0.1,0,0,0
46.2,214,44.2,5.2,0,0,0,6.6,3,1.7,0.2,0,0
9.1,215,83.1,46.7,13.8,1.1,0,6.6,1.2,0,0,0,0
77.6,216,3.8,1.6,0.2,0,0,6.6,12,5.1,0.5,0,0
81.3,217,0.3,0,0,0,0,6.6,11.8,4.9,1.5,0.1,0
76.4,218,13.8,0,0,0,0,6.6,3.3,1.1,0.1,0,0
48,219,43.2,0,0,0,0,6.6,2.3,0.2,0,0,0
89.3,220,4.1,0.1,0,0,0,6.6,0,0,0,0,0
71.2,221,0,0,0,0,0,6.6,22.2,0,0,0,0
75.8,222,10,1.3,0,0,0,6.6,7.7,2.7,0,0,0
15.1,223,78.3,47,3.8,0,0,6.6,0,0,0,0,0
45.5,224,47.9,4.9,1.2,0,0,6.6,0,0,0,0,0
66.9,225,10.4,2.7,0.3,0,0,6.6,16.1,12.7,8.8,6.5,1.9
9.1,226,84.4,79.6,70.4,45.9,5.2,6.6,0,0,0,0,0
29.8,227,9.1,1.4,0.2,0,0,6.6,54.6,18.5,0.2,0,0
5.1,228,0.3,0,0,0,0,6.6,87.9,57.7,11.6,0,0
36,229,50.1,13.1,2.3,0,0,6.6,7.3,1.8,0.3,0.1,0
78.5,230,13,0.2,0,0,0,6.6,1.9,0,0,0,0
15.5,231,78,37,4.9,0.2,0,6.6,0,0,0,0,0
28,232,0,0,0,0,0,6.6,65.3,26.5,7.3,0,0
16.6,233,71.1,26.6,0,0,0,6.6,5.8,3,1,0,0
19.3,234,69.5,34,1.7,0,0,6.6,4.6,0.4,0,0,0
11.6,235,74.2,55,30.3,7,0.8,6.6,7.7,6.2,4.3,1.6,0
11.5,236,82,73.8,59.1,26.2,0.7,6.6,0,0,0,0,0
50.8,237,35,0.7,0,0,0,6.6,7.5,0.1,0,0,0
12.7,238,80.7,47.9,6.7,0,0,6.6,0,0,0,0,0
69.2,239,24.2,7.7,0,0,0,6.6,0,0,0,0,0
29.1,240,0.4,0,0,0,0,6.6,64,25,0,0,0
31.3,241,4.3,0.7,0,0,0,6.6,57.8,8.2,0,0,0
68.8,242,8.2,0,0,0,0,6.6,16.4,11.1,8.1,5.4,0.4
12.2,243,80.4,63.6,40.2,9.8,0,6.6,0.8,0,0,0,0
