"L=longest; SK=most skillful; Obs=observed, in KAF for water year (WY) streamflow"			
WY	COLeesL	COLeesSK	COLeesObs
1446	10619.812	9297.202	
1447	17214.352	15357.698	
1448	12372.711	12669.469	
1449	11301.507	15285.638	
1450	8897.2911	9381.670	
1451	15918.215	14852.097	
1452	15593.561	13681.546	
1453	15281.663	12675.120	
1454	10526.243	8217.945	
1455	8234.3487	7303.509	
1456	10721.048	8930.146	
1457	12419.363	12232.352	
1458	18950.783	12124.326	
1459	12695.018	9393.318	
1460	9067.3781	5714.000	
1461	9189.7133	7641.933	
1462	18019.426	17920.963	
1463	17270.402	17355.800	
1464	14585.555	16723.584	
1465	11370.708	10870.182	
1466	20181.066	18969.321	
1467	19431.464	22295.269	
1468	17207.414	19630.211	
1469	13973.821	14704.077	
1470	16578.915	13825.265	
1471	9946.9189	10683.434	
1472	10171.083	9971.942	
1473	9860.4776	10508.826	
1474	11788.564	11587.155	
1475	10748.387	9066.717	
1476	16287.616	13837.563	
1477	16554.165	17221.890	
1478	15294.833	14643.480	
1479	16006.402	13640.724	
1480	10607.799	11950.208	
1481	11400.133	16435.175	
1482	16913.703	19877.501	
1483	14242.82	17672.684	
1484	22967.815	24890.959	
1485	20172.1	20973.397	
1486	19975.538	19259.305	
1487	17667.697	18093.077	
1488	17194.61	18083.454	
1489	17313.021	19988.574	
1490	18259.229	19608.685	
1491	20200.884	20836.624	
1492	16266.695	17520.398	
1493	15498.671	15439.385	
1494	16503.463	20161.166	
1495	8934.6515	10904.861	
1496	8277.9424	6081.116	
1497	12533.104	10427.237	
1498	16108.987	18208.557	
1499	10171.143	9117.343	
1500	7922.0367	6103.845	
1501	10066.999	9494.573	
1502	14401.711	11808.670	
1503	11113.901	11624.114	
1504	17007.953	14689.030	
1505	9558.7125	8707.873	
1506	8258.986	5955.491	
1507	12886.337	8789.307	
1508	13527.595	11750.792	
1509	18469.492	19586.416	
1510	10732.496	11296.762	
1511	18854.388	15541.602	
